Temperature (°F),Speed of Sound (m/s)
32,1402.9944
40,1424.0256000000002
50,1447.1904000000002
60,1467.3072
70,1484.6808
80,1499.3112
90,1511.808
100,1522.476
120,1538.9352000000001
140,1551.7368000000001
160,1554.7848000000001
180,1552.9560000000001
200,1551.1272000000001
212,1542.8976
