INCH,0,10,20,30,40,50,60,70,80,90
3,0,5,14,25,36,51,74,114,145,165
4,0,13,35,60,88,123,178,276,351,400
6,0,34,92,157,232,323,468,726,923,1050
8,0,60,157,270,397,554,802,1245,1582,1800
10,0,104,275,472,695,970,1404,2178,2769,3150
12,0,156,415,712,1049,1463,2117,3285,4175,4750
14,0,171,455,780,1148,1601,2318,3596,4570,5200
16,0,228,604,1035,1523,2125,3076,4772,6065,6900
18,0,307,814,1395,2053,2864,4146,6432,8175,9300
20,0,373,989,1695,3495,3880,5037,7815,9932,11300
24,0,610,1618,2775,4085,5698,8247,12795,16261,18500
